"LGA_CODE21","calendar_year","sex","age_group","n_births"
"17150",2018,"all","0-0",2937
"17200",2018,"all","0-0",2519
"17310",2018,"all","0-0",900
"17350",2018,"all","0-0",80
"17400",2018,"all","0-0",55
"17420",2018,"all","0-0",1861
"17550",2018,"all","0-0",1072
"17620",2018,"all","0-0",171
"17640",2018,"all","0-0",74
"17650",2018,"all","0-0",66
"17750",2018,"all","0-0",1011
"17850",2018,"all","0-0",40
"17900",2018,"all","0-0",79
"17950",2018,"all","0-0",57
"18020",2018,"all","0-0",111
"18050",2018,"all","0-0",1086
"18100",2018,"all","0-0",47
"18200",2018,"all","0-0",92
"18250",2018,"all","0-0",878
"18350",2018,"all","0-0",502
"18400",2018,"all","0-0",782
"18450",2018,"all","0-0",2726
"18500",2018,"all","0-0",725
"18710",2018,"all","0-0",186
"19399",2018,"all","0-0",15
"10050",2019,"all","0-0",716
"10180",2019,"all","0-0",333
"10250",2019,"all","0-0",422
"10300",2019,"all","0-0",34
"10470",2019,"all","0-0",495
"10500",2019,"all","0-0",2411
"10550",2019,"all","0-0",292
"10600",2019,"all","0-0",124
"10650",2019,"all","0-0",87
"10750",2019,"all","0-0",5952
"10800",2019,"all","0-0",82
"10850",2019,"all","0-0",82
"10900",2019,"all","0-0",748
"10950",2019,"all","0-0",47
"11150",2019,"all","0-0",46
"11200",2019,"all","0-0",17
"11250",2019,"all","0-0",209
"11300",2019,"all","0-0",360
"11350",2019,"all","0-0",374
"11400",2019,"all","0-0",141
"11450",2019,"all","0-0",1939
"11500",2019,"all","0-0",2694
"11520",2019,"all","0-0",1166
"11570",2019,"all","0-0",5495
"11600",2019,"all","0-0",42
"11650",2019,"all","0-0",3854
"11700",2019,"all","0-0",19
"11720",2019,"all","0-0",794
"11730",2019,"all","0-0",486
"11750",2019,"all","0-0",72
"11800",2019,"all","0-0",844
"12000",2019,"all","0-0",42
"12150",2019,"all","0-0",72
"12160",2019,"all","0-0",108
"12350",2019,"all","0-0",116
"12380",2019,"all","0-0",4038
"12390",2019,"all","0-0",806
"12700",2019,"all","0-0",99
"12730",2019,"all","0-0",102
"12750",2019,"all","0-0",307
"12850",2019,"all","0-0",2475
"12870",2019,"all","0-0",138
"12900",2019,"all","0-0",131
"12930",2019,"all","0-0",1729
"12950",2019,"all","0-0",59
"13010",2019,"all","0-0",88
"13310",2019,"all","0-0",363
"13340",2019,"all","0-0",107
"13450",2019,"all","0-0",373
"13550",2019,"all","0-0",205
"13660",2019,"all","0-0",54
"13800",2019,"all","0-0",867
"13850",2019,"all","0-0",29
"13910",2019,"all","0-0",230
"14000",2019,"all","0-0",1424
"14100",2019,"all","0-0",96
"14170",2019,"all","0-0",2288
"14220",2019,"all","0-0",254
"14300",2019,"all","0-0",59
"14350",2019,"all","0-0",369
"14400",2019,"all","0-0",200
"14500",2019,"all","0-0",872
"14550",2019,"all","0-0",95
"14600",2019,"all","0-0",99
"14650",2019,"all","0-0",2340
"14700",2019,"all","0-0",565
"14750",2019,"all","0-0",155
"14850",2019,"all","0-0",484
"14870",2019,"all","0-0",187
"14900",2019,"all","0-0",3435
"14920",2019,"all","0-0",84
"14950",2019,"all","0-0",29
"15050",2019,"all","0-0",1170
"15240",2019,"all","0-0",785
"15270",2019,"all","0-0",294
"15300",2019,"all","0-0",201
"15350",2019,"all","0-0",290
"15520",2019,"all","0-0",129
"15560",2019,"all","0-0",47
