"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"112021246","3-6","male","2016",192
"112021246","3-6","female","2016",172
"112021246","3-6",NA,"2016",0
"112021247","3-6","male","2016",65
"112021247","3-6","female","2016",88
"112021247","3-6",NA,"2016",0
"112021248","3-6","male","2016",172
"112021248","3-6","female","2016",160
"112021248","3-6",NA,"2016",0
"112021249","3-6","male","2016",179
"112021249","3-6","female","2016",149
"112021249","3-6",NA,"2016",0
"112031250","3-6","male","2016",161
"112031250","3-6","female","2016",133
"112031250","3-6",NA,"2016",0
"112031251","3-6","male","2016",99
"112031251","3-6","female","2016",89
"112031251","3-6",NA,"2016",0
"112031252","3-6","male","2016",81
"112031252","3-6","female","2016",88
"112031252","3-6",NA,"2016",0
"112031253","3-6","male","2016",170
"112031253","3-6","female","2016",148
"112031253","3-6",NA,"2016",0
"112031254","3-6","male","2016",156
"112031254","3-6","female","2016",144
"112031254","3-6",NA,"2016",0
"112031255","3-6","male","2016",303
"112031255","3-6","female","2016",223
"112031255","3-6",NA,"2016",0
"113011256","3-6","male","2016",264
"113011256","3-6","female","2016",223
"113011256","3-6",NA,"2016",0
"113011257","3-6","male","2016",180
"113011257","3-6","female","2016",163
"113011257","3-6",NA,"2016",0
"113011258","3-6","male","2016",100
"113011258","3-6","female","2016",119
"113011258","3-6",NA,"2016",0
"113011259","3-6","male","2016",76
"113011259","3-6","female","2016",66
"113011259","3-6",NA,"2016",0
"113021260","3-6","male","2016",25
"113021260","3-6","female","2016",34
"113021260","3-6",NA,"2016",0
"113021261","3-6","male","2016",87
"113021261","3-6","female","2016",77
"113021261","3-6",NA,"2016",0
"113021262","3-6","male","2016",56
"113021262","3-6","female","2016",45
"113021262","3-6",NA,"2016",0
"113031263","3-6","male","2016",81
"113031263","3-6","female","2016",63
"113031263","3-6",NA,"2016",0
"113031264","3-6","male","2016",38
"113031264","3-6","female","2016",33
"113031264","3-6",NA,"2016",0
"113031265","3-6","male","2016",65
"113031265","3-6","female","2016",58
"113031265","3-6",NA,"2016",0
"113031266","3-6","male","2016",97
