Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"Fitzroy (S) - Pt A",6182,
"Livingstone (S) - Pt A",3906,
"Rockhampton (C)",58749,
"Calliope (S) - Pt A",13815,
"Gladstone (C)",29084,
"Banana (S)",13355,
"Bauhinia (S)",2188,
"Calliope (S) - Pt B",2725,
"Duaringa (S)",6741,
"Emerald (S)",14352,
"Fitzroy (S) - Pt B",4388,
"Jericho (S)",920,
"Livingstone (S) - Pt B",24965,
"Mount Morgan (S)",2984,
"Peak Downs (S)",3185,
"Woorabinda (S)",848,
"Aramac (S)",724,
"Barcaldine (S)",1617,
"Barcoo (S)",360,
"Blackall (S)",1458,
"Boulia (S)",419,
"Diamantina (S)",284,
"Ilfracombe (S)",266,
"Isisford (S)",263,
"Longreach (S)",3525,
"Tambo (S)",563,
"Winton (S)",1382,
"Mackay (C) - Pt A",72847,
"Belyando (S)",10452,
"Bowen (S)",12379,
"Broadsound (S)",6845,
"Mackay (C) - Pt B",12047,
"Mirani (S)",5407,
"Nebo (S)",2523,
"Sarina (S)",10722,
"Whitsunday (S)",16954,
"Aitkenvale",4840,
"City - QLD",1983,
"Cranbrook",6278,
"Currajong",2612,
"Douglas",5991,
"Garbutt",2387,
"Gulliver",2873,
"Heatley",4263,
"Hermit Park",3443,
"Hyde Park-Mysterton",2222,
"Magnetic Island",2111,
"Mt Louisa-Mt St John-Bohle",5534,
"Mundingburra",3724,
"Murray",10097,
"North Ward-Castle Hill",5587,
"Oonoonba-Idalia-Cluden",3540,
"Pallarenda-Shelley Beach",1024,
"Pimlico",2284,
"Railway Estate",2814,
"Rosslea",1447,
"Rowes Bay-Belgian Gardens",2367,
"South Townsville",1912,
"Stuart-Roseneath",1235,
"Vincent",2589,
"West End - Townsville City SSD",3656,
"Wulguru",4915,
"Kelso",8694,
"Kirwan",23101,
"Thuringowa (C) - Pt A Bal",19783,
"Burdekin (S)",17016,
"Charters Towers (C)",7979,
"Dalrymple (S)",3505,
"Hinchinbrook (S)",11558,
"Palm Island (S)",1981,
"Thuringowa (C) - Pt B",7588,
"Townsville (C) - Pt B",3715,
"Cairns (C) - Barron",20048,
"Cairns (C) - Central Suburbs",21372,
"Cairns (C) - City",8166,
"Cairns (C) - Mt Whitfield",11805,
"Cairns (C) - Northern Suburbs",15209,
"Cairns (C) - Trinity",33846,
"Cairns (C) - Western Suburbs",12287,
"Atherton (S)",10910,
"Aurukun (S)",1046,
"Badu (IC)",821,
"Bamaga (IC)",781,
"Boigu (IC)",282,
"Cairns (C) - Pt B",4702,
"Cardwell (S)",9525,
"Cook (S)",3463,
"Croydon (S)",254,
"Dauan (IC)",150,
"Douglas (S)",10191,
"Eacham (S)",6362,
"Erub (IC)",317,
"Etheridge (S)",849,
"Hammond (IC)",215,
"Herberton (S)",5422,
"Hope Vale (S)",782,
"Iama (IC)",309,
"Injinoo (S)",416,
"Johnstone (S)",18251,
