Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"306011141",12807,
"306011142",13934,
"306011143",6153,
"306021144",8015,
"306021145",11435,
"306021146",8268,
"306021147",10750,
"306021148",8666,
"306021149",9885,
"306021150",0,
"306021151",6023,
"306021152",5394,
"306021153",8275,
"306021154",6334,
"306021155",4729,
"306021156",8191,
"306021157",4821,
"306031158",4238,
"306031159",9377,
"306031160",7892,
"306031161",10662,
"306031162",0,
"306031163",2560,
"306041164",6350,
"306041165",5257,
"306051166",10713,
"306051167",5639,
"306051168",4495,
"306051169",8481,
"306051170",11078,
"307011171",4378,
"307011172",8132,
"307011173",6356,
"307011174",4246,
"307011175",4063,
"307011176",6853,
"307011177",5815,
"307011178",4222,
"307021179",8559,
"307021180",7511,
"307021181",3309,
"307021182",5718,
"307021183",17023,
"307031184",4894,
"307031185",4228,
"307031186",4655,
"307031187",5409,
"307031188",5781,
"307031189",15133,
"308011190",7289,
"308011191",8139,
"308011192",13529,
"308031205",6878,
"308031206",1865,
"308031207",5462,
"308031208",9075,
"308031209",4980,
"308031210",11668,
"308031211",4876,
"308031212",2941,
"308031213",10124,
"308031214",5089,
"308031215",6899,
"308031216",5932,
"308031217",3261,
"308031218",3455,
"308031219",4243,
"308031220",2917,
"308031221",14,
"308031222",8193,
"308031223",18111,
"308041528",8555,
"308041529",5764,
"308051530",6024,
"308051531",9898,
"308051532",21,
"308051533",13462,
"308051534",6017,
"308051535",11745,
"308051536",3616,
"308051537",0,
"308051538",6143,
"308051539",4708,
"309011224",7775,
"309011225",8769,
"309011226",14159,
"309011227",11916,
"309011228",12168,
"309011229",6846,
"309021230",5950,
"309021231",11313,
"309021232",9122,
"309021233",12150,
"309021234",14654,
"309031235",10244,
"309031236",8535,
"309031237",10388,
"309031238",18261,
"309031239",9396,
"309031240",9069,
"309041241",4238,
"309041242",14272,
"309051243",7150,
"309051244",18261,
"309051245",7976,
"309061246",12191,
"309061247",8365,
"309061248",20532,
"309061249",18317,
"309061250",7881,
"309071251",13305,
"309071252",16861,
"309071253",11230,
"309071254",3640,
"309071255",19677,
"309071256",15790,
"309071257",9166,
"309071258",31216,
"309081259",4118,
"309081260",7070,
"309081261",23109,
"309081262",15182,
"309091263",11910,
"309091264",6378,
"309091265",8706,
"309091540",14692,
"309091541",17210,
"309101267",8739,
"309101268",4522,
"309101269",3883,
"309101270",23686,
"310011271",4933,
"310011272",7952,
"310011273",27708,
"310011274",18007,
"310011275",7819,
"310011276",5813,
"310021277",11884,
"310021278",5158,
"310021279",0,
"310021280",19816,
"310021281",14047,
"310021282",11807,
"310031283",10902,
"310031284",8921,
"310031285",6766,
"310031286",6558,
"310031287",17893,
"310031288",4642,
"310031289",5507,
"310031290",6092,
"310031291",7659,
"310031292",6397,
"310031293",15174,
"310031294",4619,
"310031295",3071,
"310041296",13761,
"310041297",9238,
"310041298",7,
"310041299",8519,
"310041300",10883,
"310041301",0,
"310041302",19304,
"310041303",6777,
"310041304",15428,
"311011305",13917,
"311021306",8253,
"311021307",13327,
"311021308",7452,
"311021309",5789,
"311021310",6105,
"311031311",12239,
"311031312",7374,
"311031313",5060,
"311031314",11989,
"311031315",0,
"311031316",8153,
"311031317",14448,
"311031318",4613,
"311031319",15938,
"311041320",12845,
"311041321",25744,
"311041322",7000,
"311051323",10869,
"311051324",8452,
"311051325",11129,
"311051326",10434,
"311051327",11645,
"311051328",7243,
"311061329",6636,
"311061330",10412,
"311061331",6136,
"311061332",15455,
"311061333",10431,
"311061334",9278,
"311061335",6344,
"311061336",12580,
"312011337",9100,
"312011338",8505,
"312011339",3697,
"312011340",3460,
"312011341",8735,
"312021342",14910,
"312021343",3573,
"312021344",12327,
"312021345",13,
"312021346",3655,
"312021347",518,
"312021348",10708,
"312021349",5999,
"312021350",5034,
"312021351",8211,
"312021352",11616,
"312021353",8126,
"312021354",5749,
"312021355",3348,
"312021356",6708,
"312021357",8324,
"312021358",6160,
"312031359",12932,
"312031360",0,
"312031361",8294,
"313011362",14892,
"313011363",18145,
"313021364",3967,
"313021365",26825,
"313021366",20344,
"313021367",3962,
"313021368",8433,
"313021369",3928,
"313031370",5383,
"313031371",7851,
"313041372",14022,
"313041373",22449,
"313041374",4826,
"313041375",18575,
"313041376",3021,
"313051377",8252,
"313051378",11695,
"313051379",10161,
"313051380",17139,
"313051542",12226,
"314011382",15800,
"314011383",18805,
"314011384",8490,
"314011385",7972,
"314011386",23364,
"314011387",11757,
"314021388",23929,
"314021389",17519,
"314021390",30104,
"314031391",10246,
"314031392",6016,
"314031393",8689,
"314031394",12266,
"315011395",1275,
"315011396",7516,
"315011397",1090,
"315011398",1698,
"315011399",2796,
"315011400",5981,
"315011401",3612,
"315011402",4517,
"315011403",3903,
"315021404",4828,
"315021405",18342,
"315021406",3357,
"315021407",3124,
"315031408",4765,
"315031409",4309,
"315031410",2117,
"315031411",2803,
"315031412",3663,
"316011413",16616,
"316011414",16322,
"316011415",11255,
"316011416",10298,
"316021417",10072,
"316021418",6428,
"316021419",6704,
"316021420",20278,
"316021421",11851,
"316021422",7835,
"316021423",9505,
"316021424",7838,
"316031425",14590,
