Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"520058890",856,
"520059100",716,
"520059170",864,
"520102100",1142,
"520104620",968,
"520104760",881,
"520104900",1458,
"525051680",3517,
"525052590",2885,
"525053570",4316,
"525055600",2412,
"525058540",905,
"525100560",1563,
"525102450",1247,
"525102520",1368,
"525102940",703,
"525103710",936,
"525104690",432,
"525106650",6006,
"525106720",3793,
"525107350",1019,
"525108190",389,
"525108330",4110,
"525109310",1385,
"525109450",562,
"525109730",3117,
"525151120",951,
"525154410",1182,
"525155460",3244,
"525155880",613,
"525155950",580,
"525156370",904,
"525156860",245,
"525158400",392,
"525159030",210,
"525159660",1413,
"530014281",28241,
"530051960",3800,
"530054284",181,
"530054970",726,
"530055040",1409,
"530055390",217,
"530056620",1336,
"530103080",1068,
"530103290",12963,
"530107420",1952,
"535033500",18914,
"535033851",12638,
"535051540",5684,
"535053360",2062,
"535057770",855,
"535058470",288,
"535102380",321,
"535105250",1134,
"535105810",458,
"535106160",110,
"535107630",117,
"535109250",680,
"535109590",242,
"535151470",747,
"535151610",915,
"535152030",1201,
"535153854",1402,
"535154060",3052,
"535155530",471,
"535155670",823,
"535156020",908,
"535156790",3207,
"535157000",532,
"535158260",665,
"540053220",6546,
"540057280",11960,
"540100250",6080,
"540107560",16419,
"545053920",3135,
"545059520",6594,
"545100980",13061,
"545102800",6504,
"585019779",339,
"599999499",5986,
"605050410",14122,
"605051410",49638,
"605051511",6540,
"605052610",43414,
"605052811",452,
"605052812",47243,
"605053611",28217,
"605054811",10890,
"610051010",2244,
"610051512",2936,
"610052410",4188,
"610053010",14001,
"610053612",2617,
"610054812",1030,
"610055010",5673,
"610055210",2241,
"615052211",5503,
"615054011",254,
"615054012",59192,
"615054211",8231,
"615054611",7581,
"615055811",18915,
"615102212",1028,
"615104013",2774,
"615104212",10119,
"615104612",4516,
"615105812",1900,
"615150210",6068,
"615151810",6996,
"615152010",859,
"620050611",16998,
"620050811",17593,
"620051610",24015,
"620053811",7902,
"620055411",10901,
"620100612",2059,
"620100812",3068,
"620101210",7956,
"620103210",5759,
"620103410",1641,
"620103812",731,
"620105412",2510,
"620155610",5003,
"685019779",89,
"699999499",872,
"705051004",2122,
"705051008",2393,
"705051011",1758,
"705051014",1042,
"705051018",2482,
"705051024",2592,
"705051028",2432,
"705051034",1823,
"705051038",4779,
"705051044",3037,
"705051048",4590,
"705051052",130,
"705051054",1704,
"705051058",3260,
"705051064",1402,
"705051068",2371,
"705051074",2093,
"705051078",1912,
"705051084",655,
"705051088",3357,
"705051094",1804,
"705051098",2935,
"705051104",3494,
"705051108",567,
"705051114",2514,
"705051118",2037,
"705051124",1858,
"705051128",306,
"705051134",2552,
"705051138",2301,
"705101169",428,
"705102802",2990,
"705102804",2717,
"705102806",2687,
"705102808",3291,
"705102811",2379,
"705102814",3363,
"705102818",3455,
"705102824",2832,
"705202304",1233,
"705202308",14320,
"710050540",176,
"710050700",1106,
"710050759",386,
"710050770",294,
"710104050",2129,
"710152000",1139,
"710152240",882,
"710153309",645,
"710154809",3337,
"710200809",1047,
"710202380",393,
"710203030",343,
"710204020",1930,
"710250330",816,
"710251209",6522,
"710251609",1543,
"710252340",275,
"710252409",4111,
"710252500",684,
"710300570",191,
"710300600",776,
"710300790",542,
"710301409",776,
"710301809",636,
"710302100",274,
"710302200",8191,
"710302270",672,
"710302360",251,
"710302530",938,
"710304030",226,
"710304409",887,
"710304600",466,
"710305050",1641,
"710350300",343,
"710351350",423,
"710353409",492,
"710353800",2924,
"710354009",1209,
"710400201",4545,
"710400203",2146,
"710400205",8256,
"710400207",7029,
"710400208",1920,
"710400360",967,
"710400400",236,
"710401909",804,
"710402320",542,
"710403009",2389,
"710403209",2769,
"710403609",2439,
"710403650",220,
"710404650",85,
"710404700",269,
"710405000",693,
"785019779",94,
"799999499",1901,
"805050089",1805,
"805050189",4814,
"805050639",3573,
"805050909",3116,
"805051449",719,
"805051889",1947,
"805051989",3373,
"805052169",1683,
"805053609",2883,
"805055049",52,
"805055229",4322,
"805055769",120,
"805056389",4908,
"805057209",1607,
"805057479",0,
"805058289",3005,
"805058559",4190,
"805100279",2412,
"805100459",3055,
"805100549",46,
"805100729",3384,
"805101179",3017,
"805101629",2816,
"805102139",5846,
"805102259",5495,
"805102619",5109,
"805102709",3548,
"805102889",2159,
"805103249",3305,
"805103879",2826,
"805103969",3025,
"805104149",4694,
"805104779",7589,
"805105139",3686,
"805105409",2602,
"805105589",3488,
"805105679",2382,
"805105949",3266,
"805106669",2692,
"805107569",2795,
"805107659",2595,
"805108649",2543,
"805151269",2326,
"805151719",5134,
"805152439",3359,
"805153069",3174,
"805154239",2895,
"805154419",2426,
"805155319",2445,
"805155859",2864,
"805156489",684,
"805156849",2508,
"805156939",1912,
"805158109",2264,
"805201089",2690,
"805202079",2941,
"805202529",2974,
"805204059",2607,
"805207389",3072,
"805207749",2041,
"805207839",63,
"805208469",2532,
"805208739",3177,
"805208829",16,
"805250339",4903,
"805250609",3361,
"805250819",5927,
"805251359",5378,
"805251549",5049,
"805252349",3212,
"805253159",2905,
"805253289",7869,
"805253339",3224,
"805253379",1129,
"805254509",4314,
"805254869",15581,
"805255489",1582,
"805256129",5547,
"805256579",1792,
"805257289",3231,
"805258019",4111,
"805258189",64,
"805258379",7929,
"805350369",940,
"805351809",2606,
"805352789",1190,
"805352979",57,
"805353429",3904,
"805353789",98,
"805354329",6,
"805354589",11,
"805354959",2454,
"805356219",5528,
"805356309",241,
"805356759",3,
"805357029",109,
"805357119",3144,
"805357929",467,
"805358919",2907,
"805400239",5505,
"805403519",3853,
"805403529",15,
"805403689",338,
"805403819",305,
"805406039",3,
"805406249",8941,
"805406279",6992,
"805406719",5707,
"810059009",272,
"899999499",709,
"910051009",374,
"910052009",1347,
"910053009",573,
"985019779",0,
"999999499",25,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
