"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
11004,"male","18-24",2022,2991,0.6
11101,"female","18-24",2008,2869,0.5
11101,"female","18-24",2009,2937,0.5
11101,"female","18-24",2010,2789,0.6
11101,"female","18-24",2011,2733,0.6
11101,"female","18-24",2012,2557,0.6
11101,"female","18-24",2013,2543,0.6
11101,"female","18-24",2014,2627,0.6
11101,"female","18-24",2015,4307,0.6
11101,"female","18-24",2016,4645,0.5
11101,"female","18-24",2017,4695,0.5
11101,"female","18-24",2018,4569,0.5
11101,"female","18-24",2019,4757,0.5
11101,"female","18-24",2020,4440,0.5
11101,"female","18-24",2021,4272,0.5
11101,"female","18-24",2022,4431,0.5
11101,"male","18-24",2008,2916,0.6
11101,"male","18-24",2009,2946,0.6
11101,"male","18-24",2010,2788,0.5
11101,"male","18-24",2011,2699,0.5
11101,"male","18-24",2012,2429,0.5
11101,"male","18-24",2013,2498,0.5
11101,"male","18-24",2014,2557,0.5
11101,"male","18-24",2015,4192,0.5
11101,"male","18-24",2016,4833,0.6
11101,"male","18-24",2017,4853,0.6
11101,"male","18-24",2018,4843,0.6
11101,"male","18-24",2019,5038,0.6
11101,"male","18-24",2020,4675,0.6
11101,"male","18-24",2021,4462,0.6
11101,"male","18-24",2022,4642,0.6
11102,"female","18-24",2008,2306,0.5
