"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"403","all","0-16","2016-2020","0.4"
"403","all","0-16","2017-2021","0.4"
"403","all","0-16","2018-2022","0.2"
"404","all","0-16","2008-2012","0"
"404","all","0-16","2009-2013","0"
"404","all","0-16","2010-2014","0"
"404","all","0-16","2011-2015","0.2"
"404","all","0-16","2012-2016","0.2"
"404","all","0-16","2013-2017","0.2"
"404","all","0-16","2014-2018","0.2"
"404","all","0-16","2015-2019","0.2"
"404","all","0-16","2016-2020","0"
"404","all","0-16","2017-2021","0"
"404","all","0-16","2018-2022","0"
"405","all","0-16","2008-2012","0"
"405","all","0-16","2009-2013","0"
"405","all","0-16","2010-2014","0.6"
"405","all","0-16","2011-2015","1"
"405","all","0-16","2012-2016","1.4"
"405","all","0-16","2013-2017","1.6"
"405","all","0-16","2014-2018","1.8"
"405","all","0-16","2015-2019","1.2"
"405","all","0-16","2016-2020","1.4"
"405","all","0-16","2017-2021","1.4"
"405","all","0-16","2018-2022","1.2"
"406","all","0-16","2008-2012","0"
"406","all","0-16","2009-2013","0"
"406","all","0-16","2010-2014","0.4"
"406","all","0-16","2011-2015","0.4"
"406","all","0-16","2012-2016","0.4"
"406","all","0-16","2013-2017","0.4"
"406","all","0-16","2014-2018","1"
"406","all","0-16","2015-2019","0.6"
"406","all","0-16","2016-2020","0.6"
"406","all","0-16","2017-2021","0.8"
"406","all","0-16","2018-2022","1"
"407","all","0-16","2008-2012","0"
"407","all","0-16","2009-2013","0"
"407","all","0-16","2010-2014","0.4"
"407","all","0-16","2011-2015","0.8"
"407","all","0-16","2012-2016","0.8"
"407","all","0-16","2013-2017","1"
"407","all","0-16","2014-2018","1"
"407","all","0-16","2015-2019","1"
"407","all","0-16","2016-2020","0.6"
"407","all","0-16","2017-2021","0.6"
"407","all","0-16","2018-2022","0.4"
"501","all","0-16","2008-2012","0"
"501","all","0-16","2009-2013","0"
"501","all","0-16","2010-2014","0.2"
"501","all","0-16","2011-2015","0.4"
"501","all","0-16","2012-2016","0.6"
"501","all","0-16","2013-2017","0.6"
"501","all","0-16","2014-2018","0.6"
"501","all","0-16","2015-2019","0.6"
"501","all","0-16","2016-2020","0.8"
"501","all","0-16","2017-2021","1"
"501","all","0-16","2018-2022","1"
"502","all","0-16","2008-2012","0"
"502","all","0-16","2009-2013","0"
"502","all","0-16","2010-2014","0"
"502","all","0-16","2011-2015","0"
"502","all","0-16","2012-2016","0"
"502","all","0-16","2013-2017","0"
"502","all","0-16","2014-2018","0"
"502","all","0-16","2015-2019","0"
"502","all","0-16","2016-2020","0.4"
"502","all","0-16","2017-2021","0.4"
"502","all","0-16","2018-2022","0.4"
"504","all","0-16","2008-2012","0"
"504","all","0-16","2009-2013","0"
"504","all","0-16","2010-2014","0.2"
"504","all","0-16","2011-2015","0.2"
"504","all","0-16","2012-2016","0.2"
"504","all","0-16","2013-2017","0.2"
