SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50701114906,508,Fremantle,1,Good,Good,0
50701114907,508,Fremantle,1,Good,Good,0
50701114908,508,Fremantle,1,Good,Good,0
50701114909,508,Fremantle,1,Good,Good,0
50701114910,508,Fremantle,1,Good,Good,0
50701114911,508,Fremantle,1,Good,Good,0
50701114912,508,Fremantle,1,Good,Good,0
50701114913,508,Fremantle,1,Good,Good,0
50701114914,508,Fremantle,1,Good,Good,0
50701114915,508,Fremantle,1,Good,Good,0
50701115001,508,Fremantle,1,Good,Good,0
50701115101,508,Fremantle,1,Good,Good,0
50701115201,508,Fremantle,1,Good,Good,0
50701115202,508,Fremantle,1,Good,Good,0
50701115203,508,Fremantle,1,Good,Good,0
50701115204,508,Fremantle,1,Good,Good,0
50701115205,508,Fremantle,1,Good,Good,0
50701115206,508,Fremantle,1,Good,Good,0
50701115207,508,Fremantle,1,Good,Good,0
50701115208,508,Fremantle,1,Good,Good,0
50701115209,508,Fremantle,1,Good,Good,0
50701115210,508,Fremantle,1,Good,Good,0
50701115211,508,Fremantle,1,Good,Good,0
50701115212,508,Fremantle,1,Good,Good,0
50701115213,508,Fremantle,1,Good,Good,0
50701115214,508,Fremantle,1,Good,Good,0
50701115215,508,Fremantle,1,Good,Good,0
50701115216,508,Fremantle,1,Good,Good,0
50701115301,508,Fremantle,1,Good,Good,0
50701115302,508,Fremantle,1,Good,Good,0
