SA1_MAINCODE_2011,SA1_UID_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10103101616,390,17040,Snowy Monaro Regional,1,Good,Good,0
10103101617,391,17040,Snowy Monaro Regional,1,Good,Good,0
10103101618,392,17040,Snowy Monaro Regional,1,Good,Good,0
10103101619,393,17040,Snowy Monaro Regional,1,Good,Good,0
10103101620,394,17040,Snowy Monaro Regional,1,Good,Good,0
10104101701,395,12750,Eurobodalla,1,Good,Good,0
10104101702,396,12750,Eurobodalla,1,Good,Good,0
10104101703,397,12750,Eurobodalla,1,Good,Good,0
10104101704,398,12750,Eurobodalla,1,Good,Good,0
10104101705,399,12750,Eurobodalla,1,Good,Good,0
10104101706,400,12750,Eurobodalla,1,Good,Good,0
10104101707,401,12750,Eurobodalla,1,Good,Good,0
10104101708,402,12750,Eurobodalla,1,Good,Good,0
10104101709,403,12750,Eurobodalla,1,Good,Good,0
10104101710,404,12750,Eurobodalla,1,Good,Good,0
