IARE_CODE_2016,IARE_NAME_2016,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
507006,Harvey and Surrounds,507006,Harvey and Surrounds,1,Good,Good,0
507007,Hotham - Kulin,507007,Hotham - Kulin,1,Good,Good,0
507008,Kojonup - Gnowangerup,507008,Kojonup - Gnowangerup,1,Good,Good,0
507009,Mandurah,507009,Mandurah,1,Good,Good,0
507010,Manjimup - Denmark - Plantagenet,507010,Manjimup - Denmark - Plantagenet,1,Good,Good,0
507011,Moora - Chittering,507011,Moora - Chittering,1,Good,Good,0
507012,Murray - Waroona - Boddington,507012,Murray - Waroona - Boddington,1,Good,Good,0
507013,Narrogin - Wagin - Katanning,507013,Narrogin - Wagin - Katanning,1,Good,Good,0
507014,Northam,507014,Northam,1,Good,Good,0
507015,South-West,507015,South-West,1,Good,Good,0
508001,Derby - Mowanjum,508001,Derby - Mowanjum,1,Good,Good,0
508002,Fitzroy Crossing,508005,Fitzroy Crossing,1,Good,Good,0
508003,Fitzroy River,508003,Fitzroy River,1,Good,Good,0
508004,Outer Derby - West Kimberley,508005,Fitzroy Crossing,0.0913787,Good,Good,0
508004,Outer Derby - West Kimberley,508006,Outer Derby - West Kimberley,0.9086213,Good,Good,0
594994,No usual address (WA),594994,No usual address (WA),1,Good,Good,0
597997,Migratory - Offshore - Shipping (WA),597997,Migratory - Offshore - Shipping (WA),1,Good,Good,0
601001,Central Coast - Devonport,601001,Central Coast - Devonport,1,Good,Good,0
601002,Central Tasmania,601002,Central Tasmania,1,Good,Good,0
601003,Greater Hobart,601003,Greater Hobart,1,Good,Good,0
601004,Huon Valley,601004,Huon Valley,1,Good,Good,0
601005,Kingborough,601005,Kingborough,1,Good,Good,0
601006,Launceston,601006,Launceston,1,Good,Good,0
601007,Meander Valley - Kentish,601007,Meander Valley - Kentish,1,Good,Good,0
601008,Tasmania - North-East Coast,601008,Tasmania - North-East Coast,1,Good,Good,0
601009,Tasmania - South-East Coast,601009,Tasmania - South-East Coast,1,Good,Good,0
601010,Tasmania - West Coast,601010,Tasmania - West Coast,1,Good,Good,0
601011,West Tamar - Latrobe,601011,West Tamar - Latrobe,1,Good,Good,0
694994,No usual address (Tas.),694994,No usual address (Tas.),1,Good,Good,0
697997,Migratory - Offshore - Shipping (Tas.),697997,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
701001,Alice exc. Town Camps,708001,Alice exc. Town Camps,0.9340859,Good,Good,0
701001,Alice exc. Town Camps,708002,Alice Springs Town Camps,0.005386,Good,Good,1
701001,Alice exc. Town Camps,709001,Amoonguna - Santa Teresa - Titjikala,0.0605282,Acceptable,Good,0
701002,Alice Springs Town Camps,708002,Alice Springs Town Camps,1,Good,Good,0
702001,Amoonguna - Santa Teresa - Titjikala,709001,Amoonguna - Santa Teresa - Titjikala,1,Acceptable,Good,0
702002,Ampilatwatja and Outstations,709002,Ampilatwatja and Outstations,1,Good,Good,0
702003,Anmatjere,709003,Anmatjere,1,Good,Good,0
702004,Apatula (Finke) and Homelands,709004,Apatula (Finke) and Homelands,1,Good,Good,0
702005,Atitjere - Akarnenehe - Engawala,709005,Atitjere - Akarnenehe - Engawala,1,Good,Good,0
702006,Haasts Bluff - Mount Liebig (Watiyawanu),709006,Haasts Bluff - Mount Liebig (Watiyawanu),1,Good,Good,0
702007,Hermannsburg,709007,Hermannsburg,1,Good,Good,0
702008,Kaltukatjara and Outstations,709008,Kaltukatjara and Outstations,1,Good,Good,0
702009,Mutitjulu - Uluru - Imanpa,709009,Mutitjulu - Uluru - Imanpa,1,Good,Good,0
702010,Nyirripi and Tanami Outstations,709010,Nyirripi and Tanami Outstations,1,Good,Good,0
702011,Papunya and Outstations,709011,Papunya and Outstations,1,Good,Good,0
702012,Urapuntja,709012,Urapuntja,1,Good,Good,0
702013,Walungurru and Outstations,709013,Walungurru and Outstations,1,Good,Good,0
702014,West MacDonnell Ranges,709014,West MacDonnell Ranges,1,Good,Good,0
702015,Willowra,709015,Willowra,1,Good,Good,0
702016,Yuelamu,709016,Yuelamu,1,Good,Good,0
702017,Yuendumu and Outstations,709017,Yuendumu and Outstations,1,Good,Good,0
703001,Alawa - Brinkin - Nakara,703001,Alawa - Brinkin - Nakara,1,Good,Good,0
703002,Anula - Wulagi,703002,Anula - Wulagi,1,Good,Good,0
703003,Coconut Grove - Ludmilla,703003,Coconut Grove - Ludmilla,1,Good,Good,0
703004,Cox - Finniss - Coomalie,703004,Cox - Finniss - Coomalie,1,Good,Good,0
703005,Darwin - Inner Suburbs,703005,Darwin - Inner Suburbs,1,Good,Good,0
703006,Karama,703006,Karama,1,Good,Good,0
