LOCALITY_PID,LOCALITY_NAME,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW118,AWABA,10402203,Lake Macquarie - West,1,Good,Good,0
NSW1180,CURLEW WATERS,10501402,Lachlan,1,Poor,Good,0
NSW1181,CURLEWIS,10200302,Gunnedah - Surrounds,1,Poor,Good,0
NSW1182,CURLWAA,10500202,Balranald - Wentworth - Surrounds,1,Good,Good,0
NSW1183,CURRA CREEK,10100802,Wellington - Surrounds,1,Good,Good,0
NSW1184,CURRABUBULA,10200601,Liverpool Plains,0.9934603,Acceptable,Good,0
NSW1184,CURRABUBULA,10201102,Tamworth - Surrounds,0.0065397,Good,Good,1
NSW1185,CURRAGH,10500301,Bathurst,1,Good,Good,0
NSW1186,CURRAMORE,10701501,Kiama,1,Good,Good,0
NSW1187,CURRANS HILL,10700601,Camden,1,Good,Good,0
