SA1_MAINCODE_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10104102615,12750,Eurobodalla,1,Good,Good,0
10104102616,12750,Eurobodalla,1,Good,Good,0
10104102617,12750,Eurobodalla,1,Good,Good,0
10104102618,12750,Eurobodalla,1,Good,Good,0
10104102619,12750,Eurobodalla,1,Good,Good,0
10104102620,12750,Eurobodalla,1,Good,Good,0
10104102621,12750,Eurobodalla,1,Good,Good,0
10104102622,12750,Eurobodalla,1,Good,Good,0
10104102623,12750,Eurobodalla,1,Good,Good,0
10104102701,10550,Bega Valley,1,Good,Good,0
10104102702,12750,Eurobodalla,1,Good,Good,0
10104102703,12750,Eurobodalla,1,Good,Good,0
10104102704,12750,Eurobodalla,1,Good,Good,0
10104102705,12750,Eurobodalla,1,Good,Good,0
10104102706,12750,Eurobodalla,1,Good,Good,0
10104102707,12750,Eurobodalla,1,Good,Good,0
10104102708,12750,Eurobodalla,1,Good,Good,0
10104102709,12750,Eurobodalla,1,Good,Good,0
10104102710,10550,Bega Valley,1,Good,Good,0
10104102711,10550,Bega Valley,1,Good,Good,0
10104102712,12750,Eurobodalla,1,Good,Good,0
10104102713,12750,Eurobodalla,1,Good,Good,0
10104102714,12750,Eurobodalla,1,Good,Good,0
10104102715,12750,Eurobodalla,1,Good,Good,0
10104102716,12750,Eurobodalla,1,Good,Good,0
10104102717,10550,Bega Valley,1,Good,Good,0
10104102718,10550,Bega Valley,1,Good,Good,0
10104102719,10550,Bega Valley,1,Good,Good,0
10104102720,10550,Bega Valley,1,Good,Good,0
10104102721,10550,Bega Valley,0.8908834,Good,Good,0
10104102721,12750,Eurobodalla,0.1091166,Good,Good,0
10104102722,12750,Eurobodalla,1,Good,Good,0
10104102723,12750,Eurobodalla,1,Good,Good,0
10104102724,12750,Eurobodalla,1,Good,Good,0
10104102725,12750,Eurobodalla,1,Good,Good,0
10104102726,12750,Eurobodalla,1,Good,Good,0
10104102727,12750,Eurobodalla,1,Good,Good,0
10104102728,12750,Eurobodalla,1,Good,Good,0
10104102729,12750,Eurobodalla,1,Good,Good,0
10105153901,13310,Goulburn Mulwaree,1,Good,Good,0
10105153902,13310,Goulburn Mulwaree,1,Good,Good,0
10105153903,13310,Goulburn Mulwaree,1,Good,Good,0
10105153904,13310,Goulburn Mulwaree,1,Good,Good,0
10105153905,13310,Goulburn Mulwaree,1,Good,Good,0
10105153906,13310,Goulburn Mulwaree,1,Good,Good,0
10105153907,13310,Goulburn Mulwaree,1,Good,Good,0
10105153908,13310,Goulburn Mulwaree,1,Good,Good,0
10105153909,13310,Goulburn Mulwaree,1,Good,Good,0
10105153910,13310,Goulburn Mulwaree,1,Good,Good,0
10105153911,13310,Goulburn Mulwaree,1,Good,Good,0
