ILOC_CODE_2016,ILOC_NAME_2016,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
20101203,Yarra,20101203,Yarra,1,Good,Good,0
20101301,Melton,20101301,Melton,1,Good,Good,0
20101401,Mount Waverley,20101401,Mount Waverley,1,Good,Good,0
20101402,Oakleigh,20101402,Oakleigh,1,Good,Good,0
20101403,Wheelers Hill,20101403,Wheelers Hill,1,Good,Good,0
20101501,Broadmeadows,20101501,Broadmeadows,1,Good,Good,0
20101502,Brunswick,20101502,Brunswick,1,Good,Good,0
20101503,Coburg,20101503,Coburg,1,Good,Good,0
20101504,Moreland - North,20101504,Moreland - North,1,Good,Good,0
20101601,Mornington - East,20101601,Mornington - East,1,Good,Good,0
20101602,Mornington - South,20101602,Mornington - South,1,Good,Good,0
20101603,Mornington - West,20101603,Mornington - West,1,Good,Good,0
20101701,Northcote,20101701,Northcote,1,Good,Good,0
20101702,Preston,20101702,Preston,1,Good,Good,0
20101703,Whittlesea,20101703,Whittlesea,1,Good,Good,0
20101801,Box Hill,20101801,Box Hill,1,Good,Good,0
20101802,Nunawading - East,20101802,Nunawading - East,1,Good,Good,0
20101803,Nunawading - West,20101803,Nunawading - West,1,Good,Good,0
20101901,Altona,20101901,Altona,1,Good,Good,0
20101902,Tarneit - Hoppers Crossing,20101902,Tarneit - Hoppers Crossing,1,Good,Good,0
20101903,Werribee - Whyndam Vale,20101903,Werribee - Whyndam Vale,1,Good,Good,0
20102001,Yarra Ranges,20102001,Yarra Ranges,1,Good,Good,0
20200101,Ballarat,20200101,Ballarat,1,Good,Good,0
20200201,Baw Baw,20200201,Baw Baw,1,Good,Good,0
20200301,Ascot - White Hills,20200301,Ascot - White Hills,1,Good,Good,0
20200302,Bendigo,20200302,Bendigo,1,Good,Good,0
20200303,Bendigo - Surrounds,20200303,Bendigo - Surrounds,1,Good,Good,0
20200304,Eaglehawk,20200304,Eaglehawk,1,Good,Good,0
20200305,East Bendigo,20200305,East Bendigo,1,Good,Good,0
20200306,Maiden Gully - Kangaroo Flats,20200306,Maiden Gully - Kangaroo Flats,1,Good,Good,0
20200401,Campaspe - West,20200401,Campaspe - West,1,Good,Good,0
20200402,Echuca,20200402,Echuca,1,Good,Good,0
20200403,Kyabram,20200403,Kyabram,1,Good,Good,0
20200404,Moira,20200404,Moira,1,Good,Good,0
20200405,Shepparton,20200405,Shepparton,1,Good,Good,0
20200501,Castlemaine - Kerang,20200501,Castlemaine - Kerang,1,Good,Good,0
20200601,Geelong - Queenscliff,20200601,Geelong - Queenscliff,1,Good,Good,0
20200701,Bairnsdale,20200701,Bairnsdale,1,Good,Good,0
20200702,East Gippsland,20200702,East Gippsland,1,Good,Good,0
20200703,Lake Tyers,20200703,Lake Tyers,1,Good,Good,0
20200704,Wellington (Vic.),20200704,Wellington (Vic.),1,Good,Good,0
20200801,Moe - Yallourn,20200801,Moe - Yallourn,1,Good,Good,0
20200802,Morwell,20200802,Morwell,1,Good,Good,0
20200803,Traralgon - Churchill,20200803,Traralgon - Churchill,1,Good,Good,0
20200901,Macedon Ranges,20200901,Macedon Ranges,1,Good,Good,0
20200902,Moorabool,20200902,Moorabool,1,Good,Good,0
20201001,Mildura,20201001,Mildura,1,Good,Good,0
20201101,Bass Coast,20201101,Bass Coast,1,Good,Good,0
20201102,South Gippsland,20201102,South Gippsland,1,Good,Good,0
