SA1_CODE_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10805117020,10056,Myall Lakes,1,Good,Good,3
10805117021,10056,Myall Lakes,1,Good,Good,3
10805117022,10056,Myall Lakes,0.9999702,Good,Good,3
10805117022,10063,Oxley,2.98E-05,Good,Good,5
10805117023,10056,Myall Lakes,1,Good,Good,3
10805117024,10056,Myall Lakes,1,Good,Good,3
10805117025,10056,Myall Lakes,1,Good,Good,3
10805117026,10056,Myall Lakes,1,Good,Good,3
10805117027,10056,Myall Lakes,1,Good,Good,3
10805117028,10056,Myall Lakes,1,Good,Good,3
10805117029,10056,Myall Lakes,1,Good,Good,3
10805117030,10056,Myall Lakes,0.9719198,Good,Good,3
10805117030,10083,Upper Hunter,0.0280802,Good,Good,3
10805117031,10056,Myall Lakes,1,Good,Good,3
10805117032,10056,Myall Lakes,1,Good,Good,3
10805117033,10056,Myall Lakes,1,Good,Good,3
10805117034,10056,Myall Lakes,1,Good,Good,3
