LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
57910,Stirling (C),5GPER,Greater Perth,1,Good,Good,0
57980,Subiaco (C),5GPER,Greater Perth,1,Good,Good,0
58050,Swan (C),5GPER,Greater Perth,1,Good,Good,0
58190,Tammin (S),5RWAU,Rest of WA,1,Good,Good,0
58260,Three Springs (S),5RWAU,Rest of WA,1,Good,Good,0
58330,Toodyay (S),5RWAU,Rest of WA,1,Good,Good,0
58400,Trayning (S),5RWAU,Rest of WA,1,Good,Good,0
58470,Upper Gascoyne (S),5RWAU,Rest of WA,1,Good,Good,0
58510,Victoria Park (T),5GPER,Greater Perth,1,Good,Good,0
58540,Victoria Plains (S),5RWAU,Rest of WA,1,Good,Good,0
58570,Vincent (C),5GPER,Greater Perth,1,Good,Good,0
58610,Wagin (S),5RWAU,Rest of WA,1,Good,Good,0
58680,Wandering (S),5RWAU,Rest of WA,1,Good,Good,0
58760,Wanneroo (C),5GPER,Greater Perth,1,Good,Good,0
58820,Waroona (S),5RWAU,Rest of WA,1,Good,Good,0
58890,West Arthur (S),5RWAU,Rest of WA,1,Good,Good,0
59030,Westonia (S),5RWAU,Rest of WA,1,Good,Good,0
59100,Wickepin (S),5RWAU,Rest of WA,1,Good,Good,0
59170,Williams (S),5RWAU,Rest of WA,1,Good,Good,0
59250,Wiluna (S),5RWAU,Rest of WA,1,Good,Good,0
59310,Wongan-Ballidu (S),5RWAU,Rest of WA,1,Good,Good,0
59320,Woodanilling (S),5RWAU,Rest of WA,1,Good,Good,0
59330,Wyalkatchem (S),5RWAU,Rest of WA,1,Good,Good,0
59340,Wyndham-East Kimberley (S),5RWAU,Rest of WA,1,Good,Good,0
59350,Yalgoo (S),5RWAU,Rest of WA,1,Good,Good,0
59360,Yilgarn (S),5RWAU,Rest of WA,1,Good,Good,0
59370,York (S),5RWAU,Rest of WA,1,Good,Good,0
59499,No usual address (WA),59499,No usual address (WA),1,Good,Good,0
59799,Migratory - Offshore - Shipping (WA),59799,Migratory - Offshore - Shipping (WA),1,Good,Good,0
60210,Break O'Day (M),6RTAS,Rest of Tas.,1,Good,Good,0
60410,Brighton (M),6GHOB,Greater Hobart,1,Good,Good,0
60610,Burnie (C),6RTAS,Rest of Tas.,1,Good,Good,0
60810,Central Coast (M) (Tas.),6RTAS,Rest of Tas.,1,Good,Good,0
61010,Central Highlands (M) (Tas.),6RTAS,Rest of Tas.,1,Good,Good,0
61210,Circular Head (M),6RTAS,Rest of Tas.,1,Good,Good,0
61410,Clarence (C),6GHOB,Greater Hobart,1,Good,Good,0
61510,Derwent Valley (M),6GHOB,Greater Hobart,0.6990289,Good,Good,0
61510,Derwent Valley (M),6RTAS,Rest of Tas.,0.3009711,Good,Good,0
61610,Devonport (C),6RTAS,Rest of Tas.,1,Good,Good,0
61810,Dorset (M),6RTAS,Rest of Tas.,1,Good,Good,0
62010,Flinders (M) (Tas.),6RTAS,Rest of Tas.,1,Good,Good,0
62210,George Town (M),6RTAS,Rest of Tas.,1,Good,Good,0
62410,Glamorgan/Spring Bay (M),6GHOB,Greater Hobart,0.0018118,Good,Good,1
62410,Glamorgan/Spring Bay (M),6RTAS,Rest of Tas.,0.9981882,Good,Good,0
62610,Glenorchy (C),6GHOB,Greater Hobart,1,Good,Good,0
62810,Hobart (C),6GHOB,Greater Hobart,1,Good,Good,0
63010,Huon Valley (M),6GHOB,Greater Hobart,1.20E-06,Good,Good,1
63010,Huon Valley (M),6RTAS,Rest of Tas.,0.9999988,Good,Good,0
63210,Kentish (M),6RTAS,Rest of Tas.,1,Good,Good,0
63410,King Island (M),6RTAS,Rest of Tas.,1,Good,Good,0
63610,Kingborough (M),6GHOB,Greater Hobart,0.9179477,Good,Good,0
63610,Kingborough (M),6RTAS,Rest of Tas.,0.0820523,Good,Good,0
63810,Latrobe (M) (Tas.),6RTAS,Rest of Tas.,1,Good,Good,0
64010,Launceston (C),6RTAS,Rest of Tas.,1,Good,Good,0
64210,Meander Valley (M),6RTAS,Rest of Tas.,1,Good,Good,0
64610,Northern Midlands (M),6RTAS,Rest of Tas.,1,Good,Good,0
64810,Sorell (M),6GHOB,Greater Hobart,1,Good,Good,0
65010,Southern Midlands (M),6RTAS,Rest of Tas.,1,Good,Good,0
65210,Tasman (M),6RTAS,Rest of Tas.,1,Good,Good,0
65410,Waratah/Wynyard (M),6RTAS,Rest of Tas.,1,Good,Good,0
65610,West Coast (M),6RTAS,Rest of Tas.,1,Good,Good,0
65810,West Tamar (M),6RTAS,Rest of Tas.,1,Good,Good,0
69499,No usual address (Tas.),69499,No usual address (Tas.),1,Good,Good,0
69799,Migratory - Offshore - Shipping (Tas.),69799,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
70200,Alice Springs (T),7RNTE,Rest of NT,1,Good,Good,0
70420,Barkly (R),7RNTE,Rest of NT,1,Good,Good,0
70540,Belyuen (S),7RNTE,Rest of NT,1,Good,Good,0
70620,Central Desert (R),7RNTE,Rest of NT,1,Good,Good,0
70700,Coomalie (S),7RNTE,Rest of NT,1,Good,Good,0
71000,Darwin (C),7GDAR,Greater Darwin,1,Good,Good,0
