SSC_CODE_2016,SSC_NAME_2016,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10401,Blairmount,10400,Blairmount,1,Good,Good,0
10402,Blakebrook,10401,Blakebrook,1,Good,Good,0
10403,Blakehurst,10402,Blakehurst,1,Good,Good,0
10404,Blakney Creek,10403,Blakney Creek,1,Good,Good,0
10405,Bland,10404,Bland,1,Good,Good,0
10406,Blandford,10405,Blandford,1,Good,Good,0
10407,Blaxland (NSW),10406,Blaxland (NSW),0.9910111,Good,Good,0
10407,Blaxland (NSW),11660,Glenbrook,0.0089889,Good,Good,1
10408,Blaxlands Creek,10407,Blaxlands Creek,1,Good,Good,0
10409,Blaxlands Ridge,10408,Blaxlands Ridge,1,Acceptable,Good,0
10410,Blayney,10409,Blayney,1,Good,Good,0
10411,Bligh Park,10410,Bligh Park,1,Good,Good,0
10412,Blighty,10411,Blighty,1,Good,Good,0
10413,Blowering,10412,Blowering,1,Good,Good,0
10414,Blue Bay,10413,Blue Bay,1,Good,Good,0
10415,Blue Haven,10414,Blue Haven,1,Good,Good,0
10416,Blue Knob,10415,Blue Knob,1,Good,Good,0
10417,Blue Mountains National Park,10416,Blue Mountains National Park,0.9999941,Good,Good,0
10417,Blue Mountains National Park,12563,Medlow Bath,5.90E-06,Good,Good,1
10418,Blue Nobby,10417,Blue Nobby,1,Good,Good,0
10419,Blue Vale,10418,Blue Vale,1,Good,Good,0
