LOCALITY_PID,LOCALITY_NAME,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1164,CULLIVEL,105020,Upper Murray,1,Good,Good,0
NSW1165,CULMARAN CREEK,104010,Kyogle,1,Good,Good,0
NSW1166,CUMBALUM,104001,Ballina - Bagotville,1,Good,Good,0
NSW1167,CUMBANDRY,105016,Mudgee,1,Good,Good,0
NSW1168,CUMBERLAND REACH,107010,Hawkesbury,1,Good,Good,0
NSW117,AVONSIDE,106004,Snowy - Monaro,1,Good,Good,0
NSW1170,CUMBO,105016,Mudgee,1,Good,Good,0
NSW1171,CUMBORAH,103006,Walgett,1,Good,Good,0
NSW1172,CUMNOCK,105004,Blayney - Cabonne,1,Good,Good,0
NSW1173,CUNDLE FLAT,104019,Taree,1,Good,Good,0
NSW1174,CUNDLETOWN,104019,Taree,1,Good,Good,0
NSW1175,CUNDUMBUL,101008,Wellington,1,Good,Good,0
NSW1176,CUNJURONG POINT,106003,Shoalhaven,1,Good,Good,0
NSW1177,CUNNINYEUK,105006,Central Murray,1,Good,Good,0
NSW1178,CURBAN,101003,Gilgandra,1,Good,Good,0
NSW1179,CURL CURL,107020,Northern Beaches,1,Good,Good,0
NSW118,AWABA,104022,Lake Macquarie,1,Good,Good,0
NSW1180,CURLEW WATERS,105014,Lachlan,1,Good,Good,0
NSW1181,CURLEWIS,102003,Gunnedah,1,Good,Good,0
NSW1182,CURLWAA,105002,Balranald - Wentworth,1,Good,Good,0
NSW1183,CURRA CREEK,101008,Wellington,1,Good,Good,0
NSW1184,CURRABUBULA,102006,Liverpool Plains,0.9934603,Good,Good,0
NSW1184,CURRABUBULA,102011,Tamworth,0.0065397,Good,Good,1
NSW1185,CURRAGH,105003,Bathurst,1,Good,Good,0
NSW1186,CURRAMORE,107015,Kiama - Shellharbour,1,Good,Good,0
NSW1187,CURRANS HILL,107006,Camden,1,Good,Good,0
NSW1188,CURRARONG,106003,Shoalhaven,1,Good,Good,0
NSW1189,CURRAWANG,106004,Snowy - Monaro,0.8237388,Good,Good,0
NSW1189,CURRAWANG,106005,Southern Tablelands,0.1762612,Good,Good,0
NSW119,AYLMERTON,106005,Southern Tablelands,1,Good,Good,0
NSW1190,CURRAWARNA,105021,Wagga Wagga,1,Good,Good,0
NSW1191,CURRICABARK,104006,Gloucester - Dungog,1,Good,Good,0
NSW1192,CURROWAN,106002,Eurobodalla,1,Good,Good,0
NSW1193,CUTTABRI,102010,Narrabri,1,Good,Good,0
NSW1194,CUTTAGEE,106001,Bega Valley,1,Good,Good,0
NSW1195,DABEE,105016,Mudgee,1,Good,Good,0
NSW1196,DACEYVILLE,107005,Botany Bay,1,Good,Good,0
NSW1197,DAIRY FLAT,104010,Kyogle,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,106004,Snowy - Monaro,1,Good,Good,0
NSW1199,DALEYS POINT,104007,Gosford,1,Good,Good,0
NSW12,ABERNETHY,104003,Cessnock,1,Good,Good,0
NSW120,BAAN BAA,102010,Narrabri,1,Good,Good,0
NSW1200,DALGETY,106004,Snowy - Monaro,1,Good,Good,0
NSW1201,DALMENY,106002,Eurobodalla,1,Good,Good,0
NSW1202,DALMORTON,104004,Clarence Valley,1,Good,Good,0
NSW1203,DALSWINTON,102009,Muswellbrook,1,Good,Good,0
NSW1204,DALTON,106005,Southern Tablelands,1,Good,Good,0
NSW1205,DALWOOD,104018,Singleton,1,Good,Good,0
NSW1206,DALWOOD,104001,Ballina - Bagotville,1,Good,Good,0
NSW1207,DANDALOO,101004,Narromine,1,Good,Good,0
NSW1208,DANDRY,101007,Warrumbungle Shire,1,Good,Good,0
NSW1209,DANGAR ISLAND,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
NSW121,BABINDA,101001,Bogan,1,Good,Good,0
NSW1210,DANGARSLEIGH,102001,Armidale,0.9999174,Good,Good,0
NSW1210,DANGARSLEIGH,102014,Uralla - Walcha,8.26E-05,Good,Good,1
NSW1211,DANGELONG,106004,Snowy - Monaro,1,Good,Good,0
NSW1212,DAPTO,107030,Wollongong,1,Good,Good,0
NSW1213,DARAWANK,104008,Great Lakes,1,Good,Good,0
NSW1214,DARBALARA,105013,Gundagai - Junee - Harden,1,Good,Good,0
NSW1215,DARBYS FALLS,105009,Cowra,1,Good,Good,0
NSW1217,DARGAN,105015,Lithgow - Oberon,1,Good,Good,0
NSW1218,DARK CORNER,105015,Lithgow - Oberon,1,Good,Good,0
NSW1219,DARKES FOREST,107030,Wollongong,1,Good,Good,0
NSW122,BABYL CREEK,104010,Kyogle,1,Good,Good,0
NSW1220,DARKWOOD,104005,Coffs Harbour - Nambucca,1,Good,Good,0
NSW1221,DARLING POINT,107031,Woollahra - Waverley,1,Good,Good,0
NSW1222,DARLINGHURST,107026,Sydney - City,1,Good,Good,0
NSW1223,DARLINGTON,107026,Sydney - City,1,Good,Good,0
NSW1224,DARLINGTON,104018,Singleton,1,Good,Good,0
