"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n"
4,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","12400"
4,"4-8","male","2017-2018","2_metric_cups_or_more","NULL"
4,"9-11","male","2017-2018","1_metric_cup_or_less","18500"
4,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","9600"
4,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
4,"12-13","male","2017-2018","1_metric_cup_or_less","4200"
4,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","10400"
4,"12-13","male","2017-2018","2_metric_cups_or_more","NULL"
4,"14-17","male","2017-2018","1_metric_cup_or_less","12700"
4,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","17900"
4,"14-17","male","2017-2018","2_metric_cups_or_more","6300"
5,"2-3","male","2017-2018","did_not_consume","23800"
5,"2-3","male","2017-2018","1_metric_cup_or_less","10800"
5,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
5,"4-8","male","2017-2018","did_not_consume","57300"
5,"4-8","male","2017-2018","1_metric_cup_or_less","27000"
5,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"4-8","male","2017-2018","2_metric_cups_or_more","4300"
5,"9-11","male","2017-2018","did_not_consume","37000"
5,"9-11","male","2017-2018","1_metric_cup_or_less","21700"
5,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
5,"12-13","male","2017-2018","did_not_consume","11000"
5,"12-13","male","2017-2018","1_metric_cup_or_less","18300"
5,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"12-13","male","2017-2018","2_metric_cups_or_more","NULL"
5,"14-17","male","2017-2018","did_not_consume","28400"
5,"14-17","male","2017-2018","1_metric_cup_or_less","26900"
5,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","2300"
5,"14-17","male","2017-2018","2_metric_cups_or_more","6300"
6,"2-3","male","2017-2018","did_not_consume","4100"
6,"2-3","male","2017-2018","1_metric_cup_or_less","700"
6,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"2-3","male","2017-2018","2_metric_cups_or_more","700"
6,"4-8","male","2017-2018","did_not_consume","9400"
6,"4-8","male","2017-2018","1_metric_cup_or_less","5000"
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"4-8","male","2017-2018","2_metric_cups_or_more","NULL"
6,"9-11","male","2017-2018","did_not_consume","3100"
6,"9-11","male","2017-2018","1_metric_cup_or_less","4700"
6,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
6,"12-13","male","2017-2018","did_not_consume","3300"
6,"12-13","male","2017-2018","1_metric_cup_or_less","2400"
6,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","900"
6,"12-13","male","2017-2018","2_metric_cups_or_more","500"
6,"14-17","male","2017-2018","did_not_consume","3600"
6,"14-17","male","2017-2018","1_metric_cup_or_less","5300"
6,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","600"
6,"14-17","male","2017-2018","2_metric_cups_or_more","3200"
7,"2-3","male","2017-2018","did_not_consume","2800"
7,"2-3","male","2017-2018","1_metric_cup_or_less","200"
