"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
3,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
3,"12-13","male","2017-2018","did_not_consume","0.373"
3,"12-13","male","2017-2018","1_metric_cup_or_less","0.457"
3,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","0.053"
3,"12-13","male","2017-2018","2_metric_cups_or_more","0.053"
3,"14-17","male","2017-2018","did_not_consume","0.277"
3,"14-17","male","2017-2018","1_metric_cup_or_less","0.52"
3,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","0.105"
3,"14-17","male","2017-2018","2_metric_cups_or_more","0.166"
4,"2-3","male","2017-2018","did_not_consume","0.641"
4,"2-3","male","2017-2018","1_metric_cup_or_less","0.21"
4,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
4,"4-8","male","2017-2018","did_not_consume","0.761"
4,"4-8","male","2017-2018","1_metric_cup_or_less","0.215"
4,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"4-8","male","2017-2018","2_metric_cups_or_more","NULL"
4,"9-11","male","2017-2018","did_not_consume","0.665"
4,"9-11","male","2017-2018","1_metric_cup_or_less","0.345"
4,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
4,"12-13","male","2017-2018","did_not_consume","0.204"
4,"12-13","male","2017-2018","1_metric_cup_or_less","0.505"
4,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
4,"12-13","male","2017-2018","2_metric_cups_or_more","0.131"
4,"14-17","male","2017-2018","did_not_consume","0.305"
4,"14-17","male","2017-2018","1_metric_cup_or_less","0.429"
4,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","0.151"
4,"14-17","male","2017-2018","2_metric_cups_or_more","0.113"
5,"2-3","male","2017-2018","did_not_consume","0.847"
5,"2-3","male","2017-2018","1_metric_cup_or_less","0.384"
5,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
5,"4-8","male","2017-2018","did_not_consume","0.696"
5,"4-8","male","2017-2018","1_metric_cup_or_less","0.328"
5,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"4-8","male","2017-2018","2_metric_cups_or_more","0.052"
5,"9-11","male","2017-2018","did_not_consume","0.626"
5,"9-11","male","2017-2018","1_metric_cup_or_less","0.367"
5,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
